"name","smiles","properties","tags","created"
"test8","C12=C3C=CC(C=C4)=C1C5=C4C=CC6=C5C2=C(C=C3)C=C6","","","2025-10-15T09:31:30.825Z-iazuvo"
"test7","C12=CC=CC=C1C=CC3=C4C=CC=CC4=CC=C23","","","2025-10-15T09:30:58.937Z-5hl13x"
"naphthalene","C12=CC=CC=C1C=CC=C2","","","2025-10-15T09:30:29.305Z-3scbr5"
"benzene","C1=CC=CC=C1","","","2025-10-15T09:29:16.634Z-2dscxl"
"test6","[C@@H]12CCCC[C@H](CCC2)C1","","","2025-10-15T09:29:16.634Z-eoqg1x"
"test5","C12=CC=C3C=CC=C4C=CC(C2=C34)=CC=C1","","","2025-10-15T09:29:16.634Z-txxoxt"
"test","CC(O)","12;a;b","test","2025-10-15T09:29:16.634Z-brn74k"
"Fullerene (C60)","C1(C=C(C2=C34)CC(C2=C56)=CC7=C5C8=C9C%10=C7)=C3C%11=C%12C(CC%13=CC(C=C(C9=C%14C%15=C8C6=C4C%11=C%16%15)C%10)=C%14C%16=C%13%12)=C1","mw:720 g/mol;Sequential reduction potentials (vs. Fc) in toluene/acetonitrile (5.4 : 1)
E1 = -0.98V
E2 = -1.37V
E3 = -1.87V
E4 = -2.35V
E5 = -2.85V
E6 = -3.26V;g = 1.99
No hyperfines.
Temperature dependent ESR linewidth (due to relaxation).;https://doi.org/10.1021/cr980017o

https://doi.org/10.1021/jp911937d","Acceptor","2025-10-15T09:29:16.634Z-ybph7p"
"test2","CCC(O)","mw:1;3;bf;wehtr","d","2025-10-15T09:29:16.634Z-z3d6zk"
"test3","CC(N)","mw:rweht;ehtr;ehr;dhg","h","2025-10-15T09:29:16.634Z-pdao0x"
"test4","c1cccc1","mw:sht;whtr;sdgfr;ehtdr","y","2025-10-15T09:29:16.634Z-8fwli4"
